County,num_accidents
Los Angeles,526851
Miami-Dade,251601
Orange,241275
Harris,181196
Dallas,157024
Mecklenburg,147265
Montgomery,136788
Wake,117890
San Bernardino,109631
Travis,107881
Maricopa,106737
San Diego,104165
Alameda,98553
Davidson,96580
Sacramento,95377
Riverside,88248
East Baton Rouge,75260
Santa Clara,70482
Cook,65599
Marion,59498
Hennepin,58978
Jefferson,58158
Greenville,57242
King,56934
Fulton,55958
Hillsborough,55581
Broward,53865
Lake,53624
Contra Costa,51338
Oklahoma,46058
Wayne,43262
Jackson,42480
Genesee,42163
Duval,41728
Queens,41480
Pinellas,41387
Douglas,40675
Pima,40433
Monroe,39771
Richland,39686
Spartanburg,39581
Hamilton,38991
Bexar,38636
Salt Lake,38615
Lee,38504
Westchester,38224
Middlesex,38143
Washington,38017
Kern,37614
Suffolk,37179
Fairfax County,36143
York,34319
San Joaquin,34041
Tarrant,33947
Multnomah,32939
Lancaster,32553
DuPage,32447
Kent,32051
Fresno,31563
Palm Beach,30931
San Mateo,30525
Tulsa,29394
Franklin,28492
Orleans,27391
Bronx,27308
Ramsey,26811
Prince George's,26791
El Paso,26477
Kings,26009
Richmond City,25948
Sonoma,25435
Nassau,25242
Essex,24841
Lexington,24478
Anderson,23220
Horry,22784
Henrico,22625
Shelby,22501
DeKalb,22266
Solano,22198
Manatee,22153
New York,21989
Union,21288
Ventura,21276
Denver,21163
Sarasota,20675
Fairfield,20620
Philadelphia,20233
Polk,19999
Pasco,19951
Allegheny,19802
Richmond,19416
Monterey,19097
Norfolk,18957
Stanislaus,18809
Bergen,18578
Chesterfield,18516
Osceola,18502
District of Columbia,18302
Baltimore County,18283
Hartford,18214
Chester,18053
Madison,17922
Placer,17846
San Francisco,17620
Tulare,17412
Oakland,16953
St. Louis County,16924
Prince William,16655
Frederick,16306
Caddo,16133
Adams,15960
Pierce,15326
Johnson,15254
Escambia,15121
New Haven,15045
Berkeley,14999
Santa Cruz,14651
Erie,14632
Cuyahoga,14622
Albany,14288
Lafayette,14268
Santa Barbara,14170
Delaware,14011
Milwaukee,13905
Marin,13797
Greene,13695
Dakota,13533
Providence,13435
Loudoun,12996
Brevard,12934
Merced,12659
Cobb,12373
Snohomish,12360
Camden,12349
New Castle,12068
Anne Arundel,11950
Columbia,11887
Lane,11692
Utah,11630
Hudson,11624
Tuscaloosa,11410
Florence,11402
Charleston,11330
El Dorado,11255
Washoe,11197
San Luis Obispo,10948
Summit,10887
Seminole,10604
Cumberland,10599
Clackamas,10515
Clay,10432
Rockland,10170
Orangeburg,9839
Clark,9638
Dutchess,9629
Davis,9435
Putnam,9410
Warren,9368
Yolo,9327
Dorchester,9303
Aiken,9276
Mobile,9244
Sumter,9001
Onondaga,8850
Baltimore City,8768
Cherokee,8681
Dupage,8592
Fairfax,8571
Volusia,8559
Umatilla,8551
Madera,8477
Gwinnett,8424
Williamson,8400
Weber,8382
Linn,8175
Nevada,8165
Deschutes,8093
Napa,8032
Anoka,7869
Pulaski,7717
Burlington,7695
Arapahoe,7547
Macomb,7536
Mercer,7372
Leon,7349
Kane,7346
Saratoga,7303
Buncombe,7294
Bernalillo,7208
Pickens,7172
Fayette,7097
Mendocino,6993
Butte,6980
Stafford,6979
Humboldt,6959
Arlington,6911
Klamath,6878
Shasta,6842
Harford,6804
Somerset,6759
Knox,6738
Oconee,6657
Howard,6611
Dauphin,6596
Laurens,6556
Wyandotte,6528
Westmoreland,6443
Denton,6337
Guilford,6252
Henry,6135
Monmouth,6132
Oneida,6129
Hernando,6125
Clayton,6115
Passaic,6104
Morris,6036
Ada,6030
Collin,5969
Will,5902
Virginia Beach,5902
Rockingham,5800
Jasper,5749
Santa Rosa,5704
Chesapeake,5701
Forsyth,5698
Kenton,5651
Bucks,5635
Scott,5620
Alachua,5518
Centre,5486
Yavapai,5478
Worcester,5423
Berks,5422
Gloucester,5418
Lehigh,5400
Sarpy,5395
St. Louis City,5355
Lincoln,5329
Baker,5203
Beaufort,5175
Colleton,5148
Augusta,5065
Clearfield,5057
Kershaw,5005
Wright,4981
Okaloosa,4923
Yuba,4778
Spokane,4742
Albemarle,4722
Collier,4656
Hampton,4541
Calhoun,4527
St. Charles,4488
Durham,4471
Josephine,4468
Dane,4453
Tuolumne,4406
Boone,4388
Smith,4366
Hanover,4342
Carroll,4311
Darlington,4272
Greenwood,4245
Chatham,4243
Hinds,4213
St. Johns,4199
Bay,4160
Malheur,4143
Pinal,4140
Siskiyou,4119
St. Louis,4113
Morgan,4100
Gallatin,4098
Baltimore,4091
Ocean,3998
Newberry,3991
Kanawha,3989
Spotsylvania,3987
Washtenaw,3955
Fauquier,3953
Rensselaer,3940
Cleveland,3927
Stearns,3881
Johnston,3855
Lycoming,3841
Yamhill,3835
Northampton,3826
Richmond (City),3823
Wasco,3803
Tehama,3802
Coconino,3798
Capitol,3790
Martin,3785
Plymouth,3785
San Benito,3742
Benton,3710
Cambria,3708
Calaveras,3664
Newport News,3636
Cass,3620
Houston,3609
Blair,3595
Chilton,3549
Clatsop,3489
Alexandria,3477
Caroline,3441
Georgetown,3370
Walton,3330
Tooele,3230
Baldwin,3187
Blount,3184
Sutter,3171
Livingston,3151
Limestone,3121
St. Clair,3118
Ulster,3088
Butler,3084
New Kent,3063
Dillon,3039
Canadian,3028
Shenandoah,3027
Coos,3023
Clinton,2989
Waukesha,2983
Weld,2979
Box Elder,2946
Mohave,2937
Tazewell,2929
Lucas,2924
Olmsted,2909
Amador,2894
Chisago,2864
Bristol,2827
St. Lucie,2808
Northumberland,2804
New London,2784
Iredell,2763
Dekalb,2756
Clarendon,2735
Wichita,2715
Rutherford,2707
Lebanon,2691
Campbell,2689
Ottawa,2681
Atlantic,2680
Pike,2676
Rice,2663
Larimer,2657
Sherburne,2639
Bedford,2599
Platte,2589
Henderson,2585
Thurston,2567
Charlotte,2547
Missoula,2508
Grant,2505
Carbon,2484
Cecil,2482
Botetourt,2453
Rockbridge,2420
Park,2408
Fort Bend,2407
Schenectady,2406
Yellowstone,2384
Sussex,2371
Tillamook,2370
Flathead,2367
Iron,2355
Wasatch,2344
Haywood,2269
Pueblo,2248
Whatcom,2238
Gadsden,2235
Lassen,2210
Ingham,2178
Pine,2155
Blue Earth,2155
Dinwiddie,2128
Western Connecticut,2106
Goodhue,2094
Garfield,2090
Pottawattamie,2061
Highlands,2060
South Central Connecticut,2054
Sevier,2050
Roanoke County,2046
Citrus,2037
Charles,2037
Calcasieu,2019
Brunswick,2012
West Baton Rouge,2012
Freeborn,2005
Queen Anne's,1999
Gaston,1996
Kalamazoo,1993
Wythe,1984
Coweta,1939
Merrimack,1935
Norfolk (City),1927
Del Norte,1923
Elmore,1910
Lyon,1902
Winona,1877
Luzerne,1869
Clear Creek,1826
Hendricks,1820
Cullman,1819
Carver,1811
Eagle,1802
Berrien,1785
Brown,1771
Wood,1768
Marlboro,1751
Mineral,1750
Colusa,1734
Harrison,1714
Tioga,1714
Williamsburg,1683
Chautauqua,1666
Rockwall,1659
Robeson,1653
Ontario,1653
St Louis,1653
Virginia Beach (City),1650
Mono,1648
Bibb,1646
Trinity,1646
Sedgwick,1635
Hood River,1633
Snyder,1629
Plumas,1625
Steele,1610
Beaver,1609
Cabarrus,1608
Lawrence,1602
Hancock,1600
Allen,1592
McKean,1591
Huntingdon,1576
DeSoto,1574
Mariposa,1571
Mifflin,1560
Winnebago,1543
Carlton,1543
Glenn,1534
Chesapeake (City),1534
Hunterdon,1527
Kitsap,1516
Harnett,1516
Skagit,1516
Suwannee,1511
Lackawanna,1493
Floyd,1486
Goochland,1472
Millard,1465
Baltimore (City),1448
Lewis,1447
Nicollet,1445
Crittenden,1439
Gila,1435
Elko,1435
Inyo,1425
Lewis and Clark,1421
Portsmouth,1420
Sullivan,1417
Bartow,1416
Curry,1416
Forrest,1409
Apache,1407
Alamance,1399
Hays,1394
Morrow,1383
Rowan,1375
Canyon,1368
Clarion,1366
Juab,1355
Navajo,1353
Sherman,1352
Lowndes,1349
Otter Tail,1347
James City,1341
Saline,1336
Crow Wing,1328
Autauga,1322
Schuylkill,1318
Rankin,1311
Perry,1285
Broome,1285
Kaufman,1282
Elk,1277
Talbot,1259
Tolland,1259
Walker,1239
Cabell,1236
Wilson,1228
Fredericksburg,1227
Bradley,1217
Harney,1212
Macon,1211
Louisa,1202
Saluda,1199
Barnstable,1198
La Paz,1196
Hall,1189
Boulder,1185
Flagler,1176
Gilliam,1174
