Start_Lng_Category,num_accidents
-125,13080
-124,58226
-123,425750
-122,349799
-121,89876
-120,115888
-119,498412
-118,487696
-117,14705
-116,5024
-115,12703
-114,9967
-113,100360
-112,125562
-111,40826
-110,6426
-109,5010
-108,4449
-107,29756
-106,25987
-105,58075
-104,2290
-103,2107
-102,947
-101,1057
-100,1210
-99,45308
-98,214226
-97,188967
-96,245746
-95,75583
-94,177636
-93,54917
-92,92152
-91,87126
-90,36471
-89,88466
-88,158707
-87,223451
-86,108792
-85,216085
-84,158147
-83,381834
-82,424945
-81,655133
-80,97710
-79,216267
-78,312135
-77,234885
-76,181986
-75,152811
-74,275336
-73,48067
-72,78607
-71,10733
-70,637
-69,310
-68,30
